TiempoKey,Fecha,Mes,Dia,Anio
611,2018-09-03,9,3,2018
612,2018-09-04,9,4,2018
613,2018-09-05,9,5,2018
614,2018-09-06,9,6,2018
615,2018-09-07,9,7,2018
616,2018-09-08,9,8,2018
617,2018-09-09,9,9,2018
618,2018-09-10,9,10,2018
619,2018-09-11,9,11,2018
620,2018-09-12,9,12,2018
621,2018-09-13,9,13,2018
622,2018-09-14,9,14,2018
623,2018-09-15,9,15,2018
624,2018-09-16,9,16,2018
625,2018-09-17,9,17,2018
626,2018-09-18,9,18,2018
627,2018-09-19,9,19,2018
628,2018-09-20,9,20,2018
629,2018-09-21,9,21,2018
630,2018-09-22,9,22,2018
631,2018-09-23,9,23,2018
632,2018-09-24,9,24,2018
633,2018-09-25,9,25,2018
634,2018-09-26,9,26,2018
635,2018-09-27,9,27,2018
636,2018-09-28,9,28,2018
637,2018-09-29,9,29,2018
638,2018-09-30,9,30,2018
639,2018-10-01,10,1,2018
640,2018-10-02,10,2,2018
641,2018-10-03,10,3,2018
642,2018-10-04,10,4,2018
643,2018-10-05,10,5,2018
644,2018-10-06,10,6,2018
645,2018-10-07,10,7,2018
646,2018-10-08,10,8,2018
647,2018-10-09,10,9,2018
648,2018-10-10,10,10,2018
649,2018-10-11,10,11,2018
650,2018-10-12,10,12,2018
651,2018-10-13,10,13,2018
652,2018-10-14,10,14,2018
653,2018-10-15,10,15,2018
654,2018-10-16,10,16,2018
655,2018-10-17,10,17,2018
656,2018-10-18,10,18,2018
657,2018-10-19,10,19,2018
658,2018-10-20,10,20,2018
659,2018-10-21,10,21,2018
660,2018-10-22,10,22,2018
661,2018-10-23,10,23,2018
662,2018-10-24,10,24,2018
663,2018-10-25,10,25,2018
664,2018-10-26,10,26,2018
665,2018-10-27,10,27,2018
666,2018-10-28,10,28,2018
667,2018-10-29,10,29,2018
668,2018-10-30,10,30,2018
669,2018-10-31,10,31,2018
670,2018-11-01,11,1,2018
671,2018-11-02,11,2,2018
672,2018-11-03,11,3,2018
673,2018-11-04,11,4,2018
674,2018-11-05,11,5,2018
675,2018-11-06,11,6,2018
676,2018-11-07,11,7,2018
677,2018-11-08,11,8,2018
678,2018-11-09,11,9,2018
679,2018-11-10,11,10,2018
680,2018-11-11,11,11,2018
681,2018-11-12,11,12,2018
682,2018-11-13,11,13,2018
683,2018-11-14,11,14,2018
684,2018-11-15,11,15,2018
685,2018-11-16,11,16,2018
686,2018-11-17,11,17,2018
687,2018-11-18,11,18,2018
688,2018-11-19,11,19,2018
689,2018-11-20,11,20,2018
690,2018-11-21,11,21,2018
691,2018-11-22,11,22,2018
692,2018-11-23,11,23,2018
693,2018-11-24,11,24,2018
694,2018-11-25,11,25,2018
695,2018-11-26,11,26,2018
696,2018-11-27,11,27,2018
697,2018-11-28,11,28,2018
698,2018-11-29,11,29,2018
699,2018-11-30,11,30,2018
700,2018-12-01,12,1,2018
701,2018-12-02,12,2,2018
702,2018-12-03,12,3,2018
703,2018-12-04,12,4,2018
704,2018-12-05,12,5,2018
705,2018-12-06,12,6,2018
706,2018-12-07,12,7,2018
707,2018-12-08,12,8,2018
708,2018-12-09,12,9,2018
709,2018-12-10,12,10,2018
710,2018-12-11,12,11,2018
711,2018-12-12,12,12,2018
712,2018-12-13,12,13,2018
713,2018-12-14,12,14,2018
714,2018-12-15,12,15,2018
715,2018-12-16,12,16,2018
716,2018-12-17,12,17,2018
717,2018-12-18,12,18,2018
718,2018-12-19,12,19,2018
719,2018-12-20,12,20,2018
720,2018-12-21,12,21,2018
721,2018-12-22,12,22,2018
722,2018-12-23,12,23,2018
723,2018-12-24,12,24,2018
724,2018-12-25,12,25,2018
725,2018-12-26,12,26,2018
726,2018-12-27,12,27,2018
727,2018-12-28,12,28,2018
728,2018-12-29,12,29,2018
729,2018-12-30,12,30,2018
730,2018-12-31,12,31,2018
731,2019-01-01,1,1,2019
732,2019-01-02,1,2,2019
733,2019-01-03,1,3,2019
734,2019-01-04,1,4,2019
735,2019-01-05,1,5,2019
736,2019-01-06,1,6,2019
737,2019-01-07,1,7,2019
738,2019-01-08,1,8,2019
739,2019-01-09,1,9,2019
740,2019-01-10,1,10,2019
741,2019-01-11,1,11,2019
742,2019-01-12,1,12,2019
743,2019-01-13,1,13,2019
744,2019-01-14,1,14,2019
745,2019-01-15,1,15,2019
746,2019-01-16,1,16,2019
747,2019-01-17,1,17,2019
748,2019-01-18,1,18,2019
749,2019-01-19,1,19,2019
750,2019-01-20,1,20,2019
751,2019-01-21,1,21,2019
752,2019-01-22,1,22,2019
753,2019-01-23,1,23,2019
754,2019-01-24,1,24,2019
755,2019-01-25,1,25,2019
756,2019-01-26,1,26,2019
757,2019-01-27,1,27,2019
758,2019-01-28,1,28,2019
759,2019-01-29,1,29,2019
760,2019-01-30,1,30,2019
761,2019-01-31,1,31,2019
762,2019-02-01,2,1,2019
763,2019-02-02,2,2,2019
764,2019-02-03,2,3,2019
765,2019-02-04,2,4,2019
766,2019-02-05,2,5,2019
767,2019-02-06,2,6,2019
768,2019-02-07,2,7,2019
769,2019-02-08,2,8,2019
770,2019-02-09,2,9,2019
771,2019-02-10,2,10,2019
772,2019-02-11,2,11,2019
773,2019-02-12,2,12,2019
774,2019-02-13,2,13,2019
775,2019-02-14,2,14,2019
776,2019-02-15,2,15,2019
777,2019-02-16,2,16,2019
778,2019-02-17,2,17,2019
779,2019-02-18,2,18,2019
780,2019-02-19,2,19,2019
781,2019-02-20,2,20,2019
782,2019-02-21,2,21,2019
783,2019-02-22,2,22,2019
784,2019-02-23,2,23,2019
785,2019-02-24,2,24,2019
786,2019-02-25,2,25,2019
787,2019-02-26,2,26,2019
788,2019-02-27,2,27,2019
789,2019-02-28,2,28,2019
790,2019-03-01,3,1,2019
791,2019-03-02,3,2,2019
792,2019-03-03,3,3,2019
793,2019-03-04,3,4,2019
794,2019-03-05,3,5,2019
795,2019-03-06,3,6,2019
796,2019-03-07,3,7,2019
797,2019-03-08,3,8,2019
798,2019-03-09,3,9,2019
799,2019-03-10,3,10,2019
800,2019-03-11,3,11,2019
801,2019-03-12,3,12,2019
802,2019-03-13,3,13,2019
803,2019-03-14,3,14,2019
804,2019-03-15,3,15,2019
805,2019-03-16,3,16,2019
806,2019-03-17,3,17,2019
807,2019-03-18,3,18,2019
808,2019-03-19,3,19,2019
809,2019-03-20,3,20,2019
810,2019-03-21,3,21,2019
811,2019-03-22,3,22,2019
812,2019-03-23,3,23,2019
813,2019-03-24,3,24,2019
814,2019-03-25,3,25,2019
815,2019-03-26,3,26,2019
816,2019-03-27,3,27,2019
817,2019-03-28,3,28,2019
818,2019-03-29,3,29,2019
819,2019-03-30,3,30,2019
820,2019-03-31,3,31,2019
821,2019-04-01,4,1,2019
822,2019-04-02,4,2,2019
823,2019-04-03,4,3,2019
824,2019-04-04,4,4,2019
825,2019-04-05,4,5,2019
826,2019-04-06,4,6,2019
827,2019-04-07,4,7,2019
828,2019-04-08,4,8,2019
829,2019-04-09,4,9,2019
830,2019-04-10,4,10,2019
831,2019-04-11,4,11,2019
832,2019-04-12,4,12,2019
833,2019-04-13,4,13,2019
834,2019-04-14,4,14,2019
835,2019-04-15,4,15,2019
836,2019-04-16,4,16,2019
